District_Name,Year,Yield
Jhansi,2023,1.5346059562927032
Jhansi,2024,1.184314560076357
Kannauj,2015,3.346788771332873
Kannauj,2016,3.4888262505563272
Kannauj,2017,3.483295818839097
Kannauj,2018,3.577611701702502
Kannauj,2019,3.459635218910075
Kannauj,2020,3.570766197566116
Kannauj,2021,3.737751150332618
Kannauj,2022,3.835960345196491
Kannauj,2023,3.8298160347561527
Kannauj,2024,1.4089794747411521
Kanpur Dehat,2015,3.058767401217332
Kanpur Dehat,2016,3.4402335995157083
Kanpur Dehat,2017,3.3057301882680346
Kanpur Dehat,2018,3.697173586371081
Kanpur Dehat,2019,3.4596680170772416
Kanpur Dehat,2020,3.9084622628817436
Kanpur Dehat,2021,3.9605880054698184
Kanpur Dehat,2022,3.6155996019240337
Kanpur Dehat,2023,3.587727347591821
Kanpur Dehat,2024,1.666969689524418
Kanpur,2015,2.7959440637361412
Kanpur,2016,3.0106992399081647
Kanpur,2017,2.6678017366570854
Kanpur,2018,2.935379803483786
Kanpur,2019,2.94655162082809
Kanpur,2020,3.4796784806635275
Kanpur,2021,3.4642513719586225
Kanpur,2022,3.557762475908912
Kanpur,2023,3.844885772361677
Kanpur,2024,1.5101359571010091
Kasganj,2019,2.9510024863778237
Kasganj,2020,3.398998615105998
Kasganj,2021,3.6360052562417873
Kasganj,2022,3.4
Kasganj,2023,3.522998839013264
Kasganj,2024,2.3260012366577802
Kaushambi,2015,2.0840031544784496
Kaushambi,2016,2.1769265579609653
Kaushambi,2017,2.078840196864632
Kaushambi,2018,2.6009999135521427
Kaushambi,2019,2.380534102803474
Kaushambi,2020,2.6934415693287876
Kaushambi,2021,2.888997561748378
Kaushambi,2022,2.903366954406652
Kaushambi,2023,2.4304041148426103
Kaushambi,2024,1.5299935103411304
Kheri,2015,2.759999602944169
Kheri,2016,3.0199975855933405
Kheri,2017,3.1880010176238485
Kheri,2018,3.364001055960743
Kheri,2019,2.9670011016099314
Kheri,2020,3.413997832472081
Kheri,2021,3.4050014444787964
